,ZIPCODE,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,final_score_scale,0_percent,1_percent,2_percent
0,10001,0.51,0.36,0.13,0.32,0.42,0.472468264,0.521412393,0.627726383,0.381152232,0.609690958,0.00915681
1,10002,0.35,0.41,0.26,0.39,0.24,0.416538792,0.189844051,0.56143078,0.998278089,0.001721911,0
2,10003,0.52,0.38,0.13,0.28,0.44,0.676660662,0.605686972,0.624063716,0.868908198,0.131091802,0
3,10004,0.48,0.43,0.09,0.4,0.48,0.681547159,0.880600597,0.661026898,0.71685761,0.001636661,0.281505728
4,10005,0.53,0.39,0.08,0.33,0.52,0.804326598,0.84791076,0.693762269,0.769063181,0.230936819,0
5,10006,0.46,0.4,0.13,0.39,0.43,0.591867204,0.86400068,0.451471112,0.973154362,0.026845638,0
6,10007,0.53,0.4,0.07,0.56,0.47,1,1,0.595624659,0.982071189,0.017928811,0
7,10009,0.28,0.49,0.23,0.29,0.38,0.453646273,0.365593172,0.603094741,0.996298581,0.003701419,0
8,10010,0.45,0.35,0.18,0.37,0.42,0.552636724,0.645241774,0.541098204,0.777690495,0.222309505,0
9,10011,0.56,0.35,0.1,0.32,0.41,0.73989613,0.693561532,0.65495759,0.692654904,0.249487074,0.057858022
10,10012,0.56,0.33,0.1,0.34,0.44,1,0.57408213,0.672568384,0.994900561,0.005099439,0
11,10013,0.48,0.4,0.11,0.48,0.4,1,0.649751751,0.626119914,0.70313424,0.29686576,0
12,10014,0.52,0.36,0.13,0.31,0.45,0.707491646,0.697826511,0.604255319,0.895325203,0.10399729,0.000677507
13,10016,0.57,0.31,0.11,0.32,0.44,0.58067421,0.620701896,0.534923241,0.71559633,0.281345566,0.003058104
14,10017,0.56,0.29,0.16,0.35,0.49,0.463229768,0.642916785,0.784528422,0.493265993,0.506734007,0
15,10018,0.5,0.41,0.11,0.35,0.4,0.842465579,0.65198674,0.755030401,0.526963907,0.223779193,0.2492569
16,10019,0.52,0.35,0.13,0.35,0.38,0.608550196,0.559667202,0.666941055,0.698915401,0.269848156,0.031236443
17,10020,0.53,0.34,0.12,0.44,0.35,0.585227207,0.430397848,0.705952519,0,0.612738854,0.387261146
18,10021,0.41,0.38,0.21,0.53,0.34,0.904290048,0.699311503,0.581857589,0.558333333,0.3,0.141666667
19,10022,0.52,0.34,0.14,0.45,0.41,0.686001157,0.791551042,0.590394514,0.795903438,0.204096562,0
20,10023,0.38,0.48,0.15,0.46,0.34,0.810530595,0.704261479,0.679623757,0.939427313,0.059471366,0.001101322
21,10024,0.31,0.52,0.18,0.5,0.37,0.934342033,0.736656317,0.739071604,0.956134339,0.043865661,0
22,10025,0.27,0.48,0.24,0.41,0.29,0.721384139,0.477322613,0.561482832,0.983967936,0.016032064,0
23,10026,0.22,0.51,0.29,0.31,0.24,0.605056197,0.312173439,0.401673432,0.998803828,0.001196172,0
24,10027,0.29,0.43,0.29,0.28,0.24,0.469123765,0.24990375,0.570694472,0.994097393,0.005902607,0
25,10028,0.32,0.48,0.22,0.47,0.4,0.787803606,0.657081715,0.619618912,0.540650407,0.384823848,0.074525745
26,10029,0.27,0.43,0.29,0.3,0.19,0.44080778,0.182794086,0.553278831,0.962853774,0.037146226,0
27,10030,0.21,0.41,0.37,0.27,0.19,0.413183293,0.205468973,0.559922271,1,0,0
28,10031,0.18,0.44,0.38,0.33,0.23,0.35960882,0.258478708,0.533091367,0.954545455,0.045454545,0
29,10032,0.24,0.32,0.43,0.31,0.2,0.369348815,0.243173784,0.673757696,1,0,0
30,10033,0.18,0.32,0.49,0.39,0.24,0.371107314,0.310308448,0.568964873,0.525085131,0.474914869,0
31,10034,0.18,0.26,0.55,0.37,0.21,0.293966853,0.284988575,0.669405297,0.906015038,0.093984962,0
32,10035,0.24,0.43,0.33,0.26,0.16,0.444929778,0.1400493,0.635556936,0.99983919,0.00016081,0
33,10036,0.43,0.41,0.16,0.28,0.4,0.556221722,0.492817536,0.69814519,0.837900506,0.145657673,0.016441821
34,10037,0.22,0.37,0.43,0.26,0.22,0.598610701,0.215878921,0.582185278,1,0,0
35,10038,0.45,0.41,0.14,0.35,0.4,0.550527225,0.575502122,0.689414908,0.97865353,0.02134647,0
36,10039,0.19,0.38,0.43,0.27,0.21,0.28074286,0.215028925,0.450742219,1,0,0
37,10040,0.25,0.24,0.51,0.37,0.23,0.273198363,0.239568802,0.656012993,0.873517787,0.126482213,0
