ZIP Code,Zip_Name,CTW_lessthan5_Min,CTW_5-9_Min,CTW_10-14_Min,CTW_15-19_Min,CTW_20-24_Min,CTW_25-29_Min,CTW_30-34_Min,CTW_35-39_Min,CTW_40-44_Min,CTW_45-59_Min,CTW_60-89_Min,CTW_90+_Min,pop15_marital_status,pop25_att_college,pop25_att_high_School,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,pop_2021
7002,Bayonne,0.01,0.07,0.1,0.08,0.09,0.04,0.19,0.03,0.07,0.12,0.13,0.07,0.49,0.15,0.29,0.27,354539,68397,"67,010"
10001,New York,0.02,0.03,0.08,0.17,0.21,0.09,0.18,0.04,0.05,0.05,0.06,0.02,0.32,0.08,0.07,0.42,944937,104283,"29,482"
10002,New York,0.02,0.02,0.06,0.14,0.11,0.05,0.24,0.04,0.08,0.12,0.1,0.04,0.39,0.09,0.17,0.24,833078,37969,"81,600"
10003,New York,0.02,0.05,0.08,0.15,0.22,0.13,0.18,0.04,0.03,0.07,0.04,0.02,0.28,0.07,0.04,0.44,1353322,121138,"56,236"
10004,New York,0.02,0.12,0.09,0.08,0.17,0.11,0.21,0.05,0.06,0.03,0.03,0.03,0.4,0.04,0.03,0.48,1363095,176121,"5,329"
10005,New York,0.04,0.15,0.07,0.07,0.2,0.08,0.2,0.06,0.05,0.03,0.02,0.03,0.33,0.03,0.03,0.52,1608654,169583,"6,572"
10006,New York,0.01,0.12,0.13,0.1,0.1,0.1,0.16,0.08,0.06,0.04,0.06,0.03,0.39,0.04,0.02,0.43,1183735,172801,"3,269"
10007,New York,0,0.07,0.09,0.12,0.25,0.15,0.17,0.04,0.04,0.02,0.04,0.01,0.56,0.05,0.04,0.47,2000001,200001,"8,059"
10009,New York,0.02,0.01,0.04,0.08,0.13,0.1,0.26,0.05,0.08,0.13,0.08,0.02,0.29,0.11,0.12,0.38,907293,73119,"63,177"
10010,New York,0.01,0.05,0.06,0.11,0.22,0.09,0.19,0.03,0.04,0.06,0.1,0.02,0.37,0.07,0.07,0.42,1105274,129049,"27,275"
10011,New York,0.01,0.04,0.1,0.17,0.24,0.11,0.18,0.02,0.04,0.04,0.04,0.02,0.32,0.07,0.04,0.41,1479793,138713,"52,269"
10012,New York,0.02,0.09,0.1,0.12,0.23,0.08,0.18,0.03,0.04,0.05,0.03,0.02,0.34,0.06,0.06,0.44,2000001,114817,"24,701"
10013,New York,0.02,0.04,0.1,0.14,0.18,0.11,0.22,0.03,0.04,0.06,0.03,0.02,0.48,0.06,0.06,0.4,2000001,129951,"29,813"
10014,New York,0.01,0.04,0.05,0.18,0.24,0.12,0.19,0.02,0.03,0.08,0.04,0.01,0.31,0.06,0.05,0.45,1414984,139566,"29,703"
10016,New York,0.01,0.07,0.1,0.15,0.24,0.08,0.16,0.03,0.04,0.05,0.04,0.02,0.32,0.07,0.04,0.44,1161349,124141,"61,002"
10017,New York,0,0.06,0.08,0.16,0.26,0.09,0.13,0.02,0.05,0.08,0.04,0.04,0.35,0.06,0.04,0.49,926460,128584,"15,597"
10018,New York,0.01,0.04,0.12,0.11,0.22,0.13,0.2,0.03,0.05,0.04,0.04,0.03,0.35,0.09,0.06,0.4,1684932,130398,"8,254"
10019,New York,0.02,0.05,0.09,0.16,0.2,0.08,0.19,0.03,0.05,0.07,0.04,0.02,0.35,0.08,0.08,0.38,1217101,111934,"45,505"
10020,New York,0,0.1,0.07,0.14,0.22,0.11,0.2,0.01,0.02,0.02,0.03,0.07,0.44,0.08,0.05,0.35,1170455,86080,192
10021,New York,0.02,0.06,0.06,0.1,0.17,0.08,0.18,0.04,0.08,0.13,0.04,0.04,0.53,0.09,0.06,0.34,1808581,139863,"43,606"
10022,New York,0.01,0.06,0.11,0.17,0.17,0.08,0.18,0.02,0.06,0.09,0.03,0.02,0.45,0.07,0.04,0.41,1372003,158311,"35,396"
10023,New York,0.01,0.03,0.08,0.09,0.17,0.1,0.28,0.05,0.05,0.08,0.04,0.03,0.46,0.07,0.05,0.34,1621062,140853,"66,378"
10024,New York,0.01,0.02,0.04,0.07,0.17,0.09,0.27,0.07,0.09,0.1,0.05,0.03,0.5,0.06,0.04,0.37,1868685,147332,"59,001"
10025,New York,0.01,0.03,0.04,0.07,0.12,0.08,0.24,0.06,0.1,0.12,0.09,0.03,0.41,0.09,0.07,0.29,1442769,95465,"95,374"
10026,New York,0.01,0.02,0.03,0.05,0.11,0.07,0.26,0.08,0.1,0.18,0.08,0.03,0.31,0.14,0.16,0.24,1210113,62435,"34,416"
10027,New York,0.01,0.06,0.06,0.07,0.09,0.06,0.22,0.06,0.09,0.18,0.08,0.03,0.28,0.12,0.15,0.24,938248,49981,"63,198"
10028,New York,0.02,0.02,0.04,0.08,0.16,0.09,0.24,0.04,0.11,0.13,0.07,0.02,0.47,0.06,0.04,0.4,1575608,131417,"45,903"
10029,New York,0.01,0.04,0.04,0.07,0.11,0.06,0.22,0.06,0.09,0.16,0.1,0.03,0.3,0.13,0.18,0.19,881616,36559,"80,232"
10030,New York,0.01,0.03,0.05,0.03,0.09,0.04,0.2,0.05,0.12,0.2,0.14,0.03,0.27,0.19,0.15,0.19,826367,41094,"27,208"
10031,New York,0.01,0.02,0.02,0.06,0.07,0.05,0.2,0.06,0.13,0.19,0.15,0.04,0.33,0.14,0.17,0.23,719218,51696,"57,013"
10032,New York,0.01,0.05,0.05,0.06,0.07,0.02,0.17,0.04,0.09,0.21,0.17,0.05,0.31,0.15,0.14,0.2,738698,48635,"62,372"
10033,New York,0.01,0.03,0.04,0.05,0.05,0.03,0.15,0.04,0.1,0.23,0.21,0.05,0.39,0.13,0.14,0.24,742215,62062,"54,956"
10034,New York,0.02,0.04,0.04,0.04,0.04,0.03,0.11,0.03,0.09,0.26,0.24,0.05,0.37,0.15,0.16,0.21,587934,56998,"38,159"
10035,New York,0.01,0.03,0.05,0.05,0.1,0.03,0.24,0.05,0.11,0.2,0.09,0.04,0.26,0.15,0.19,0.16,889860,28010,"34,197"
10036,New York,0.01,0.04,0.06,0.12,0.2,0.12,0.19,0.06,0.04,0.06,0.07,0.03,0.28,0.09,0.06,0.4,1112444,98564,"26,766"
10037,New York,0.01,0.05,0.05,0.05,0.06,0.03,0.19,0.05,0.1,0.29,0.1,0.04,0.26,0.16,0.2,0.22,1197222,43176,"17,742"
10038,New York,0.01,0.06,0.12,0.12,0.14,0.12,0.2,0.03,0.06,0.06,0.06,0.02,0.35,0.08,0.09,0.4,1101055,115101,"22,487"
10039,New York,0.01,0.02,0.05,0.03,0.08,0.05,0.18,0.04,0.11,0.24,0.14,0.05,0.27,0.18,0.19,0.21,561486,43006,"20,142"
10040,New York,0.02,0.04,0.04,0.06,0.09,0.02,0.09,0.05,0.08,0.25,0.2,0.06,0.37,0.14,0.15,0.23,546397,47914,"38,517"
10044,New York,0,0,0.01,0.04,0.08,0.11,0.34,0.05,0.11,0.14,0.1,0.02,0.48,0.1,0.14,0.25,1055310,106870,"14,020"
10065,New York,0.02,0.08,0.1,0.14,0.18,0.09,0.17,0.03,0.04,0.1,0.04,0.02,0.49,0.08,0.05,0.4,1890625,145796,"33,521"
10069,New York,0,0.02,0.05,0.02,0.12,0.14,0.28,0.03,0.12,0.17,0.05,0.01,0.49,0.03,0.06,0.41,1797297,145690,"6,939"
10075,New York,0.01,0.02,0.06,0.08,0.2,0.07,0.22,0.09,0.06,0.14,0.05,0.01,0.45,0.08,0.09,0.38,1223062,124296,"27,331"
10128,New York,0.01,0.02,0.04,0.06,0.12,0.11,0.25,0.07,0.09,0.14,0.08,0.02,0.48,0.06,0.06,0.38,1471853,120427,"58,648"
10280,New York,0,0.03,0.11,0.17,0.13,0.1,0.15,0.08,0.07,0.08,0.04,0.03,0.59,0.05,0.01,0.42,1403096,198944,"5,882"
10281,New York,0,0.06,0.18,0.09,0.34,0.12,0.13,0,0.05,0.04,0,0,0.5,0.03,0.2,0.4,0,200001,"2,959"
